"REGION","YEAR","EVENT_TYPE","FATALITIES","INJURIES","DAMAGE_PROPERTY","DAMAGE_CROP"
"MID-ATLANTIC",2005,"LIGHTNING",7,97,7479000,0
"NORTHEAST",2005,"LIGHTNING",1,32,3756000,0
"NORTHWEST",2005,"LIGHTNING",0,14,81000,0
"SOUTH",2005,"LIGHTNING",9,8,7838500,15000
"SOUTHEAST",2005,"LIGHTNING",7,65,15540000,0
"SOUTHWEST",2005,"LIGHTNING",6,31,2715700,4e+05
"CENTRAL",2006,"LIGHTNING",10,80,29834610,12000
"MID-ATLANTIC",2006,"LIGHTNING",9,46,9033400,0
"NORTHEAST",2006,"LIGHTNING",1,32,2788000,0
"NORTHWEST",2006,"LIGHTNING",0,6,143000,0
"SOUTH",2006,"LIGHTNING",9,23,5597020,2000
"SOUTHEAST",2006,"LIGHTNING",6,33,14184250,0
"SOUTHWEST",2006,"LIGHTNING",8,24,2172000,0
"CENTRAL",2007,"LIGHTNING",8,21,27120500,50000
"MID-ATLANTIC",2007,"LIGHTNING",7,23,7060000,1000
"NORTHEAST",2007,"LIGHTNING",2,17,4460000,0
"NORTHWEST",2007,"LIGHTNING",1,7,96000,0
"SOUTH",2007,"LIGHTNING",3,10,5844000,11000
"SOUTHEAST",2007,"LIGHTNING",14,38,32985000,0
"SOUTHWEST",2007,"LIGHTNING",10,23,4431300,0
"CENTRAL",2008,"LIGHTNING",5,54,20079400,0
"MID-ATLANTIC",2008,"LIGHTNING",5,40,8078010,0
"NORTHEAST",2008,"LIGHTNING",4,41,8963250,0
"NORTHWEST",2008,"LIGHTNING",0,3,44000,0
"SOUTH",2008,"LIGHTNING",2,11,2253250,7000
"SOUTHEAST",2008,"LIGHTNING",4,37,14970750,56000
"SOUTHWEST",2008,"LIGHTNING",5,21,4485000,40000
"CENTRAL",2009,"LIGHTNING",6,26,5957000,0
"MID-ATLANTIC",2009,"LIGHTNING",6,29,7513000,0
"NORTHEAST",2009,"LIGHTNING",2,25,5117750,0
"NORTHWEST",2009,"LIGHTNING",1,5,469000,0
"SOUTH",2009,"LIGHTNING",4,12,6113300,10000
"SOUTHEAST",2009,"LIGHTNING",5,67,10372000,0
"SOUTHWEST",2009,"LIGHTNING",9,37,8315300,1000
"CENTRAL",2010,"LIGHTNING",4,32,17456900,6000
"MID-ATLANTIC",2010,"LIGHTNING",5,22,17929200,321000
"NORTHEAST",2010,"LIGHTNING",3,25,1502600,0
"NORTHWEST",2010,"LIGHTNING",3,27,438000,82000
"SOUTH",2010,"LIGHTNING",6,25,13041000,10000
"SOUTHEAST",2010,"LIGHTNING",4,36,15035000,1000
"SOUTHWEST",2010,"LIGHTNING",4,14,5625500,32000
"CENTRAL",2011,"LIGHTNING",10,37,18672500,111000
"MID-ATLANTIC",2011,"LIGHTNING",5,55,7674370,1000
"NORTHEAST",2011,"LIGHTNING",0,9,3876000,0
"NORTHWEST",2011,"LIGHTNING",1,4,522500,0
"SOUTH",2011,"LIGHTNING",2,24,5311200,0
"SOUTHEAST",2011,"LIGHTNING",1,34,7629850,0
"SOUTHWEST",2011,"LIGHTNING",6,31,3292500,0
"CENTRAL",1996,"OTHER",59,115,74594310,67684000
"MID-ATLANTIC",1996,"OTHER",52,351,137680000,124710600
"NORTHEAST",1996,"OTHER",22,59,79525200,0
"NORTHWEST",1996,"OTHER",18,50,82030400,0
"SOUTH",1996,"OTHER",10,3,20135000,72389000
"SOUTHEAST",1996,"OTHER",2,38,10456500,109030000
"SOUTHWEST",1996,"OTHER",33,242,127938200,16545000
"CENTRAL",1997,"OTHER",65,230,451749220,80875400
"MID-ATLANTIC",1997,"OTHER",16,60,7e+06,82745000
"NORTHEAST",1997,"OTHER",21,93,36777390,0
"NORTHWEST",1997,"OTHER",31,108,14668500,191900
"SOUTH",1997,"OTHER",2,18,2020300,691000
"SOUTHEAST",1997,"OTHER",1,4,376000,212950000
"SOUTHWEST",1997,"OTHER",77,373,108943000,31915000
"CENTRAL",1998,"OTHER",17,260,58869550,14192100
"MID-ATLANTIC",1998,"OTHER",13,92,162932500,9498500
"NORTHEAST",1998,"OTHER",8,37,14586100,50000
"NORTHWEST",1998,"OTHER",16,55,21413700,93121000
"SOUTH",1998,"OTHER",11,26,23750000,154000
"SOUTHEAST",1998,"OTHER",3,86,380904500,0
"SOUTHWEST",1998,"OTHER",38,407,64266600,1008060900
"CENTRAL",1999,"OTHER",18,187,21028640,20962000
"MID-ATLANTIC",1999,"OTHER",10,179,17784000,11700
"NORTHEAST",1999,"OTHER",4,21,23367820,60000
"NORTHWEST",1999,"OTHER",36,86,57412500,250000
"SOUTH",1999,"OTHER",3,51,1464000,65000
"SOUTHEAST",1999,"OTHER",1,19,11368000,675000
"SOUTHWEST",1999,"OTHER",41,326,171942510,145812700
"CENTRAL",2000,"OTHER",27,112,42594740,3975000
"MID-ATLANTIC",2000,"OTHER",22,129,8688400,19000
"NORTHEAST",2000,"OTHER",8,20,60019000,0
"NORTHWEST",2000,"OTHER",26,125,31339500,1185000
"SOUTH",2000,"OTHER",9,22,3412000,44000
"SOUTHEAST",2000,"OTHER",1,16,2261800,7500000
"SOUTHWEST",2000,"OTHER",37,225,2109799700,8123000
"CENTRAL",2001,"OTHER",10,42,41100920,1001000
"MID-ATLANTIC",2001,"OTHER",4,18,4530850,50000
"NORTHEAST",2001,"OTHER",5,43,83935000,0
"NORTHWEST",2001,"OTHER",23,52,15942600,20500000
"SOUTH",2001,"OTHER",3,8,473000,0
"SOUTHEAST",2001,"OTHER",5,2,24370850,99980000
"SOUTHWEST",2001,"OTHER",21,261,76893500,65300000
"CENTRAL",2002,"OTHER",26,57,58318600,4704000
"MID-ATLANTIC",2002,"OTHER",13,32,5899800,0
"NORTHEAST",2002,"OTHER",9,12,16134000,0
"NORTHWEST",2002,"OTHER",20,47,34568600,90310000
"SOUTH",2002,"OTHER",1,1,766300,0
"SOUTHEAST",2002,"OTHER",1,6,2163950,250
"SOUTHWEST",2002,"OTHER",39,490,239636500,12002630
"CENTRAL",2003,"OTHER",25,49,57221600,4235000
"MID-ATLANTIC",2003,"OTHER",24,142,154968850,12520000
"NORTHEAST",2003,"OTHER",11,22,44937000,2e+05
"NORTHWEST",2003,"OTHER",11,39,45354500,1220500
"SOUTH",2003,"OTHER",2,1,446000,0
"SOUTHEAST",2003,"OTHER",10,12,280750,19353000
"SOUTHWEST",2003,"OTHER",57,439,2448558330,132625000
"CENTRAL",2004,"OTHER",29,55,133236950,2e+05
"MID-ATLANTIC",2004,"OTHER",33,142,51096340,0
"NORTHEAST",2004,"OTHER",4,5,8356000,0
"NORTHWEST",2004,"OTHER",12,43,8609300,5472000
"SOUTH",2004,"OTHER",2,12,85405400,3065000
"SOUTHEAST",2004,"OTHER",6,26,3200590000,332400000
"SOUTHWEST",2004,"OTHER",29,138,19933400,350000
"CENTRAL",2005,"OTHER",26,45,106562000,41200000
"MID-ATLANTIC",2005,"OTHER",18,46,57183000,0
"NORTHEAST",2005,"OTHER",4,16,19357000,1e+05
"NORTHWEST",2005,"OTHER",9,16,18081600,100362900
"SOUTH",2005,"OTHER",1,6,1172000,0
"SOUTHEAST",2005,"OTHER",2,9,17794600,2.1e+07
"SOUTHWEST",2005,"OTHER",41,175,384113150,227436000
"CENTRAL",2006,"OTHER",13,39,114162010,1505000
"MID-ATLANTIC",2006,"OTHER",8,17,123575900,3008000
"NORTHEAST",2006,"OTHER",6,10,37211500,0
"NORTHWEST",2006,"OTHER",24,28,100510850,0
"SOUTH",2006,"OTHER",4,23,4950600,1000
"SOUTHEAST",2006,"OTHER",1,9,560750,0
"SOUTHWEST",2006,"OTHER",50,174,230579750,327222900
"CENTRAL",2007,"OTHER",22,23,42163000,16481000
"MID-ATLANTIC",2007,"OTHER",10,8,9674500,8119000
"NORTHEAST",2007,"OTHER",5,1,60776500,2000
"NORTHWEST",2007,"OTHER",14,28,223314060,18000
"SOUTH",2007,"OTHER",0,4,744110,4465000
"SOUTHEAST",2007,"OTHER",0,9,30073210,210500000
"SOUTHWEST",2007,"OTHER",41,355,1088340700,158183000
"CENTRAL",2008,"OTHER",47,26,1432751520,32308000
"MID-ATLANTIC",2008,"OTHER",12,75,27126350,52000
"NORTHEAST",2008,"OTHER",4,6,13449200,4e+05
"NORTHWEST",2008,"OTHER",23,15,41171750,105010000
"SOUTH",2008,"OTHER",6,27,92514250,15320000
"SOUTHEAST",2008,"OTHER",1,4,18555000,15018000
"SOUTHWEST",2008,"OTHER",29,161,190202270,5674000
"CENTRAL",2009,"OTHER",31,17,60841600,3012000
"MID-ATLANTIC",2009,"OTHER",5,74,108445700,26000
"NORTHEAST",2009,"OTHER",6,70,111984000,0
"NORTHWEST",2009,"OTHER",17,14,61596200,0
"SOUTH",2009,"OTHER",3,7,14321600,0
"SOUTHEAST",2009,"OTHER",4,3,3928800,6.2e+07
"SOUTHWEST",2009,"OTHER",23,97,74837850,2531000
"CENTRAL",2010,"OTHER",24,7,53131020,15003000
"MID-ATLANTIC",2010,"OTHER",9,8,38603720,0
"NORTHEAST",2010,"OTHER",7,16,46885750,188000
"NORTHWEST",2010,"OTHER",12,16,10405600,4020000
"SOUTH",2010,"OTHER",8,7,3101500,2128000
"SOUTHEAST",2010,"OTHER",6,6,3590170,354052000
"SOUTHWEST",2010,"OTHER",23,81,310095400,7e+05
"CENTRAL",2011,"OTHER",17,7,32945410,8156000
"MID-ATLANTIC",2011,"OTHER",7,6,14530420,58001000
"NORTHEAST",2011,"OTHER",1,2,29690000,420000
"NORTHWEST",2011,"OTHER",10,10,48062500,813000
"SOUTH",2011,"OTHER",4,6,5541000,1055000
"SOUTHEAST",2011,"OTHER",3,8,3121500,0
"SOUTHWEST",2011,"OTHER",26,154,747691100,34769000
"SOUTH",1996,"RIP",2,1,0,0
"SOUTHEAST",1996,"RIP",22,64,0,0
"SOUTHWEST",1996,"RIP",1,0,0,0
"MID-ATLANTIC",1997,"RIP",1,2,0,0
"SOUTHEAST",1997,"RIP",8,2,0,0
"SOUTHWEST",1997,"RIP",1,3,0,0
"MID-ATLANTIC",1998,"RIP",2,8,0,0
"NORTHEAST",1998,"RIP",1,0,0,0
"SOUTH",1998,"RIP",1,0,0,0
"SOUTHEAST",1998,"RIP",11,4,0,0
"SOUTHWEST",1998,"RIP",2,0,0,0
"CENTRAL",1999,"RIP",1,0,0,0
"MID-ATLANTIC",1999,"RIP",0,4,0,0
"SOUTH",1999,"RIP",2,1,0,0
"SOUTHEAST",1999,"RIP",8,3,0,0
"SOUTHWEST",1999,"RIP",7,17,0,0
"MID-ATLANTIC",2000,"RIP",6,1,0,0
"SOUTHEAST",2000,"RIP",8,3,0,0
"SOUTHWEST",2000,"RIP",11,4,0,0
"CENTRAL",2001,"RIP",3,0,0,0
"MID-ATLANTIC",2001,"RIP",1,39,0,0
"NORTHEAST",2001,"RIP",3,0,0,0
"SOUTH",2001,"RIP",1,0,0,0
"SOUTHEAST",2001,"RIP",22,8,0,0
"SOUTHWEST",2001,"RIP",7,15,0,0
"MID-ATLANTIC",2002,"RIP",6,0,0,0
"NORTHEAST",2002,"RIP",8,5,0,0
"SOUTH",2002,"RIP",3,4,0,0
"SOUTHEAST",2002,"RIP",20,15,0,0
"SOUTHWEST",2002,"RIP",3,19,1e+05,0
"MID-ATLANTIC",2003,"RIP",2,0,0,0
"SOUTH",2003,"RIP",2,0,0,0
"SOUTHEAST",2003,"RIP",30,16,0,0
"SOUTHWEST",2003,"RIP",5,30,0,0
"MID-ATLANTIC",2004,"RIP",8,0,0,0
"NORTHEAST",2004,"RIP",1,0,0,0
"SOUTHEAST",2004,"RIP",14,17,0,0
"SOUTHWEST",2004,"RIP",0,6,0,0
"CENTRAL",2005,"RIP",3,0,0,0
"MID-ATLANTIC",2005,"RIP",10,1,0,0
"NORTHEAST",2005,"RIP",3,0,0,0
"SOUTH",2005,"RIP",2,0,0,0
"SOUTHEAST",2005,"RIP",14,8,0,0
"CENTRAL",2006,"RIP",1,4,0,0
"MID-ATLANTIC",2006,"RIP",7,1,0,0
"SOUTHEAST",2006,"RIP",14,14,0,0
"SOUTHWEST",2006,"RIP",1,0,0,0
"CENTRAL",2007,"RIP",1,0,0,0
"MID-ATLANTIC",2007,"RIP",11,0,0,0
"NORTHWEST",2007,"RIP",3,2,0,0
"SOUTH",2007,"RIP",5,0,0,0
"SOUTHEAST",2007,"RIP",19,11,0,0
"SOUTHWEST",2007,"RIP",3,1,0,0
"CENTRAL",2008,"RIP",4,0,0,0
"MID-ATLANTIC",2008,"RIP",5,14,0,0
"NORTHWEST",2008,"RIP",1,0,0,0
"SOUTH",2008,"RIP",5,0,0,0
"SOUTHEAST",2008,"RIP",21,6,0,0
"SOUTHWEST",2008,"RIP",7,1,0,0
"CENTRAL",2009,"RIP",3,0,0,0
"MID-ATLANTIC",2009,"RIP",10,7,0,0
"NORTHEAST",2009,"RIP",6,0,0,0
"SOUTH",2009,"RIP",1,0,0,0
"SOUTHEAST",2009,"RIP",17,13,1000,0
"SOUTHWEST",2009,"RIP",2,0,0,0
"CENTRAL",2010,"RIP",13,9,0,0
"MID-ATLANTIC",2010,"RIP",4,2,0,0
"NORTHEAST",2010,"RIP",7,2,0,0
"SOUTH",2010,"RIP",2,0,0,0
"SOUTHEAST",2010,"RIP",13,31,0,0
"SOUTHWEST",2010,"RIP",8,1,0,0
"CENTRAL",2011,"RIP",4,2,0,0
"MID-ATLANTIC",2011,"RIP",6,2,0,0
"NORTHEAST",2011,"RIP",1,0,0,0
"SOUTH",2011,"RIP",1,0,0,0
"SOUTHEAST",2011,"RIP",8,16,0,0
"SOUTHWEST",2011,"RIP",8,6,0,0
"CENTRAL",1996,"STORM",20,169,195464680,23258400
"MID-ATLANTIC",1996,"STORM",4,40,117604300,2882000
"NORTHEAST",1996,"STORM",1,69,8464000,35000
"NORTHWEST",1996,"STORM",3,54,5039500,5700000
"SOUTH",1996,"STORM",4,60,25430200,841000
"SOUTHEAST",1996,"STORM",0,16,53684200,20950
"SOUTHWEST",1996,"STORM",4,41,143148070,316000
"CENTRAL",1997,"STORM",11,138,229506170,32438000
"MID-ATLANTIC",1997,"STORM",9,77,13746900,834000
"NORTHEAST",1997,"STORM",6,56,3506000,40000
"NORTHWEST",1997,"STORM",3,12,3190800,577000
"SOUTH",1997,"STORM",7,40,40822900,1363000
"SOUTHEAST",1997,"STORM",0,65,14419120,39500
"SOUTHWEST",1997,"STORM",11,107,54197070,205180000
"CENTRAL",1998,"STORM",24,482,962246300,86061150
"MID-ATLANTIC",1998,"STORM",3,110,94562000,1752000
"NORTHEAST",1998,"STORM",13,51,562418000,10585000
"NORTHWEST",1998,"STORM",2,5,3249800,1107000
"SOUTH",1998,"STORM",6,126,184861250,2101500
"SOUTHEAST",1998,"STORM",5,89,56906600,20075000
"SOUTHWEST",1998,"STORM",12,49,385911530,48409300
"CENTRAL",1999,"STORM",16,129,185254750,64805200
"MID-ATLANTIC",1999,"STORM",6,53,59535100,39914000
"NORTHEAST",1999,"STORM",6,39,6004000,127000
"NORTHWEST",1999,"STORM",5,6,1628000,0
"SOUTH",1999,"STORM",4,59,33971650,409000
"SOUTHEAST",1999,"STORM",0,16,14496000,0
"SOUTHWEST",1999,"STORM",4,33,64307860,9502000
"CENTRAL",2000,"STORM",8,114,735132090,51463500
"MID-ATLANTIC",2000,"STORM",2,45,16185200,629000
"NORTHEAST",2000,"STORM",2,36,13373000,70000
"NORTHWEST",2000,"STORM",1,16,5511100,604000
"SOUTH",2000,"STORM",12,36,162427900,2605000
"SOUTHEAST",2000,"STORM",0,18,76750400,250000
"SOUTHWEST",2000,"STORM",2,33,181300900,2249000
"CENTRAL",2001,"STORM",10,141,196670760,19813000
"MID-ATLANTIC",2001,"STORM",0,49,8499200,460000
"NORTHEAST",2001,"STORM",0,2,3949000,1e+05
"NORTHWEST",2001,"STORM",0,13,2530000,1755000
"SOUTH",2001,"STORM",8,74,51209000,2555000
"SOUTHEAST",2001,"STORM",1,17,38252350,0
"SOUTHWEST",2001,"STORM",26,50,5208067500,5787000
"CENTRAL",2002,"STORM",8,61,470617370,49743000
"MID-ATLANTIC",2002,"STORM",7,136,334393900,5000
"NORTHEAST",2002,"STORM",1,20,17828000,50000
"NORTHWEST",2002,"STORM",0,13,2130500,0
"SOUTH",2002,"STORM",2,28,184902600,3852000
"SOUTHEAST",2002,"STORM",1,10,62873850,2310000
"SOUTHWEST",2002,"STORM",3,49,100479330,4583000
"CENTRAL",2003,"STORM",8,77,350285060,65927800
"MID-ATLANTIC",2003,"STORM",7,305,858734650,8790000
"NORTHEAST",2003,"STORM",3,4,62292000,8550000
"NORTHWEST",2003,"STORM",0,2,1240000,120000
"SOUTH",2003,"STORM",3,38,140647260,110000
"SOUTHEAST",2003,"STORM",5,36,10602600,95000
"SOUTHWEST",2003,"STORM",3,24,76390750,3410000
"CENTRAL",2004,"STORM",8,130,76536950,9912750
"MID-ATLANTIC",2004,"STORM",4,26,67535000,36000
"NORTHEAST",2004,"STORM",1,13,5882000,0
"NORTHWEST",2004,"STORM",0,4,20864100,2100000
"SOUTH",2004,"STORM",3,41,39414400,2100000
"SOUTHEAST",2004,"STORM",7,16,429197850,5000
"SOUTHWEST",2004,"STORM",0,23,26065100,1490000
"CENTRAL",2005,"STORM",7,73,466027650,8870000
"MID-ATLANTIC",2005,"STORM",4,12,12724800,150000
"NORTHEAST",2005,"STORM",0,11,8196000,2e+05
"NORTHWEST",2005,"STORM",0,23,8451500,180000
"SOUTH",2005,"STORM",2,47,43133602700,1473000
"SOUTHEAST",2005,"STORM",1,8,182415500,66600000
"SOUTHWEST",2005,"STORM",3,27,12047450,993000
"CENTRAL",2006,"STORM",5,126,122447500,30464500
"MID-ATLANTIC",2006,"STORM",3,31,30046500,43289000
"NORTHEAST",2006,"STORM",3,17,5761500,2e+05
"NORTHWEST",2006,"STORM",0,4,5267400,10000
"SOUTH",2006,"STORM",2,33,67307580,80300
"SOUTHEAST",2006,"STORM",0,11,14657700,5500
"SOUTHWEST",2006,"STORM",6,19,186586800,291000
"CENTRAL",2007,"STORM",9,158,587842400,183779000
"MID-ATLANTIC",2007,"STORM",0,30,22148050,50000
"NORTHEAST",2007,"STORM",1,12,7207500,30000
"NORTHWEST",2007,"STORM",0,4,1603600,4000
"SOUTH",2007,"STORM",2,28,29953550,1854000
"SOUTHEAST",2007,"STORM",1,15,14509200,38000
"SOUTHWEST",2007,"STORM",5,20,33271150,2670000
"CENTRAL",2008,"STORM",11,118,900981650,13715000
"MID-ATLANTIC",2008,"STORM",5,37,25708680,1000
"NORTHEAST",2008,"STORM",2,10,94335750,1250000
"NORTHWEST",2008,"STORM",3,3,1057950,102000
"SOUTH",2008,"STORM",3,54,209858750,161256000
"SOUTHEAST",2008,"STORM",2,14,67362000,556000
"SOUTHWEST",2008,"STORM",12,30,4651695550,1136000
"CENTRAL",2009,"STORM",5,57,727939050,22041000
"MID-ATLANTIC",2009,"STORM",2,25,27949350,224000
"NORTHEAST",2009,"STORM",1,10,5577750,17000
"NORTHWEST",2009,"STORM",0,0,897600,4e+06
"SOUTH",2009,"STORM",6,40,783479450,2561000
"SOUTHEAST",2009,"STORM",5,11,13114200,8000
"SOUTHWEST",2009,"STORM",5,48,44426850,3566000
"CENTRAL",2010,"STORM",5,113,106538300,7913000
"MID-ATLANTIC",2010,"STORM",5,34,27873000,4047000
"NORTHEAST",2010,"STORM",0,49,16361500,360000
"NORTHWEST",2010,"STORM",3,71,2503800,1769000
"SOUTH",2010,"STORM",1,7,26301500,174000
"SOUTHEAST",2010,"STORM",0,21,7839200,19000
"SOUTHWEST",2010,"STORM",1,22,47146900,1530000
"CENTRAL",2011,"STORM",25,182,183384800,120459000
"MID-ATLANTIC",2011,"STORM",11,50,115441650,24533000
"NORTHEAST",2011,"STORM",2,36,104917750,10000
"NORTHWEST",2011,"STORM",1,2,1562500,277000
"SOUTH",2011,"STORM",11,47,79588300,770000
"SOUTHEAST",2011,"STORM",7,41,46827900,104000
"SOUTHWEST",2011,"STORM",1,16,37050400,18259000
"CENTRAL",1996,"TORNADO",13,320,497218000,3347700
"MID-ATLANTIC",1996,"TORNADO",0,61,31123000,242000
"NORTHEAST",1996,"TORNADO",0,5,3377000,15000
"NORTHWEST",1996,"TORNADO",0,1,355000,0
"SOUTH",1996,"TORNADO",9,228,153960550,368000
"SOUTHEAST",1996,"TORNADO",4,61,20088500,2e+06
"SOUTHWEST",1996,"TORNADO",0,29,13470500,6536500
"CENTRAL",1997,"TORNADO",30,549,427877970,4446100
"MID-ATLANTIC",1997,"TORNADO",2,15,5733000,63000
"NORTHEAST",1997,"TORNADO",0,1,4725000,35000
"NORTHWEST",1997,"TORNADO",0,0,1012000,1000
"SOUTH",1997,"TORNADO",6,308,108058530,187000
"SOUTHEAST",1997,"TORNADO",1,94,37929500,805500
"SOUTHWEST",1997,"TORNADO",29,66,145398250,215000
"CENTRAL",1998,"TORNADO",12,528,538890200,11602000
"MID-ATLANTIC",1998,"TORNADO",10,195,154407000,4935000
"NORTHEAST",1998,"TORNADO",0,91,77953000,215000
"NORTHWEST",1998,"TORNADO",0,1,611000,90000
"SOUTH",1998,"TORNADO",45,413,370556200,4345000
"SOUTHEAST",1998,"TORNADO",61,606,552034000,30000
"SOUTHWEST",1998,"TORNADO",2,40,21630500,802700
"CENTRAL",1999,"TORNADO",66,1222,1443625450,6278000
"MID-ATLANTIC",1999,"TORNADO",1,98,31247000,30000
"NORTHEAST",1999,"TORNADO",0,1,1105000,0
"NORTHWEST",1999,"TORNADO",0,4,4372500,0
"SOUTH",1999,"TORNADO",20,316,148438000,2000
"SOUTHEAST",1999,"TORNADO",0,45,25853500,0
"SOUTHWEST",1999,"TORNADO",7,156,335201000,1960000
"CENTRAL",2000,"TORNADO",3,240,150673500,1749100
"MID-ATLANTIC",2000,"TORNADO",1,9,3588500,0
"NORTHEAST",2000,"TORNADO",0,2,375000,0
"NORTHWEST",2000,"TORNADO",0,2,3720000,0
"SOUTH",2000,"TORNADO",14,315,202734000,10000
"SOUTHEAST",2000,"TORNADO",19,219,42111500,5009000
"SOUTHWEST",2000,"TORNADO",4,95,20462500,105000
"CENTRAL",2001,"TORNADO",14,182,322052300,7088500
"MID-ATLANTIC",2001,"TORNADO",2,101,117071600,0
"NORTHEAST",2001,"TORNADO",0,2,521000,0
"NORTHWEST",2001,"TORNADO",0,2,1e+05,0
"SOUTH",2001,"TORNADO",22,342,121879500,85000
"SOUTHEAST",2001,"TORNADO",2,52,19472500,2000
"SOUTHWEST",2001,"TORNADO",0,62,48970000,235000
"CENTRAL",2002,"TORNADO",14,351,385853200,584010
"MID-ATLANTIC",2002,"TORNADO",4,170,144467000,0
"NORTHEAST",2002,"TORNADO",0,8,3787000,0
"NORTHWEST",2002,"TORNADO",0,0,850000,0
"SOUTH",2002,"TORNADO",34,345,138279000,3000
"SOUTHEAST",2002,"TORNADO",0,21,15487500,62000
"SOUTHWEST",2002,"TORNADO",3,73,112525500,150000
"CENTRAL",2003,"TORNADO",31,526,880270000,14476000
"MID-ATLANTIC",2003,"TORNADO",1,8,57290500,1410000
"NORTHEAST",2003,"TORNADO",0,8,2124000,0
"NORTHWEST",2003,"TORNADO",0,0,5000,0
"SOUTH",2003,"TORNADO",15,193,202189000,17000
"SOUTHEAST",2003,"TORNADO",7,258,99007500,2500
"SOUTHWEST",2003,"TORNADO",0,94,24764770,2000
"CENTRAL",2004,"TORNADO",19,191,350034500,8112500
"MID-ATLANTIC",2004,"TORNADO",4,92,103354250,2000
"NORTHEAST",2004,"TORNADO",0,0,1855000,0
"NORTHWEST",2004,"TORNADO",0,0,161200,0
"SOUTH",2004,"TORNADO",3,65,47408500,0
"SOUTHEAST",2004,"TORNADO",7,29,21058500,15000
"SOUTHWEST",2004,"TORNADO",2,19,12715500,4002000
"CENTRAL",2005,"TORNADO",30,347,189785500,1680900
"MID-ATLANTIC",2005,"TORNADO",0,1,7612500,406000
"NORTHEAST",2005,"TORNADO",0,0,481000,5000
"NORTHWEST",2005,"TORNADO",2,13,5130000,0
"SOUTH",2005,"TORNADO",2,135,108570000,8233000
"SOUTHEAST",2005,"TORNADO",4,38,105885000,5e+05
"SOUTHWEST",2005,"TORNADO",0,3,4354500,71280000
"CENTRAL",2006,"TORNADO",17,508,401496000,4732000
"MID-ATLANTIC",2006,"TORNADO",10,50,15732500,25000
"NORTHEAST",2006,"TORNADO",0,10,12700000,0
"NORTHWEST",2006,"TORNADO",0,1,341000,0
"SOUTH",2006,"TORNADO",36,323,219270500,1680000
"SOUTHEAST",2006,"TORNADO",0,46,78439500,250000
"SOUTHWEST",2006,"TORNADO",4,54,24263500,0
"CENTRAL",2007,"TORNADO",23,196,530291050,5644000
"MID-ATLANTIC",2007,"TORNADO",1,29,1443500,15000
"NORTHEAST",2007,"TORNADO",0,9,10000,0
"NORTHWEST",2007,"TORNADO",0,0,72000,22000
"SOUTH",2007,"TORNADO",13,174,309866000,702000
"SOUTHEAST",2007,"TORNADO",31,162,437353500,552000
"SOUTHWEST",2007,"TORNADO",13,89,121685600,330000
"CENTRAL",2008,"TORNADO",69,869,784946250,8898000
"MID-ATLANTIC",2008,"TORNADO",5,261,74705000,595000
"NORTHEAST",2008,"TORNADO",1,2,255000,0
"NORTHWEST",2008,"TORNADO",0,2,876000,0
"SOUTH",2008,"TORNADO",47,360,449993000,8700000
"SOUTHEAST",2008,"TORNADO",6,96,190324590,10000
"SOUTHWEST",2008,"TORNADO",1,100,205132000,7000
"CENTRAL",2009,"TORNADO",14,152,281998850,15914000
"MID-ATLANTIC",2009,"TORNADO",0,31,16545000,330000
"NORTHEAST",2009,"TORNADO",0,1,4181000,75000
"NORTHWEST",2009,"TORNADO",0,2,722000,0
"SOUTH",2009,"TORNADO",6,164,176479750,681000
"SOUTHEAST",2009,"TORNADO",1,27,46387000,1475000
"SOUTHWEST",2009,"TORNADO",0,20,39485500,3000
"CENTRAL",2010,"TORNADO",27,370,517358950,2100000
"MID-ATLANTIC",2010,"TORNADO",1,36,39385000,92000
"NORTHEAST",2010,"TORNADO",1,11,44813000,0
"NORTHWEST",2010,"TORNADO",2,3,64448000,0
"SOUTH",2010,"TORNADO",14,261,441305000,25426000
"SOUTHEAST",2010,"TORNADO",0,2,13394000,0
"SOUTHWEST",2010,"TORNADO",0,16,16216500,27000
"CENTRAL",2011,"TORNADO",189,1778,3502324300,8920000
"MID-ATLANTIC",2011,"TORNADO",38,628,456881500,3839000
"NORTHEAST",2011,"TORNADO",6,400,457990000,0
"NORTHWEST",2011,"TORNADO",0,0,392500,0
"SOUTH",2011,"TORNADO",338,3207,5166702900,18052000
"SOUTHEAST",2011,"TORNADO",16,145,224340000,1e+05
"SOUTHWEST",2011,"TORNADO",0,5,10889500,450000
