"REGION","YEAR","EVENT_TYPE","FATALITIES","INJURIES","DAMAGE_PROPERTY","DAMAGE_CROP"
"SOUTH",2001,"FLOOD",4,15,63612000,5e+05
"SOUTHEAST",2001,"FLOOD",3,0,36089000,50000
"SOUTHWEST",2001,"FLOOD",16,238,40644000,1006000
"CENTRAL",2002,"FLOOD",11,14,310519500,76364500
"MID-ATLANTIC",2002,"FLOOD",6,4,136363000,0
"NORTHEAST",2002,"FLOOD",0,0,4265000,15000
"NORTHWEST",2002,"FLOOD",3,0,33436000,75000
"SOUTH",2002,"FLOOD",8,14,55207000,560000
"SOUTHEAST",2002,"FLOOD",0,1,9490000,2200000
"SOUTHWEST",2002,"FLOOD",18,51,104363000,3277000
"CENTRAL",2003,"FLOOD",17,5,577683400,123145500
"MID-ATLANTIC",2003,"FLOOD",25,14,195170500,830000
"NORTHEAST",2003,"FLOOD",7,2,50889000,0
"NORTHWEST",2003,"FLOOD",0,0,24706500,0
"SOUTH",2003,"FLOOD",13,2,1507044000,650000
"SOUTHEAST",2003,"FLOOD",3,6,54340500,1000
"SOUTHWEST",2003,"FLOOD",13,34,46278500,1073000
"CENTRAL",2004,"FLOOD",14,8,366673000,294915000
"MID-ATLANTIC",2004,"FLOOD",27,95,886318000,37801900
"NORTHEAST",2004,"FLOOD",3,0,103946000,0
"NORTHWEST",2004,"FLOOD",0,0,6997000,8000
"SOUTH",2004,"FLOOD",10,1,88466250,5850000
"SOUTHEAST",2004,"FLOOD",2,2,57314500,20000
"SOUTHWEST",2004,"FLOOD",20,20,183529000,2295000
"CENTRAL",2005,"FLOOD",11,12,156841300,48682500
"MID-ATLANTIC",2005,"FLOOD",1,3,232253000,0
"NORTHEAST",2005,"FLOOD",8,4,151778890,2e+05
"NORTHWEST",2005,"FLOOD",0,0,26073500,25000
"SOUTH",2005,"FLOOD",2,1,54116000,3415000
"SOUTHEAST",2005,"FLOOD",1,1,30786100,0
"SOUTHWEST",2005,"FLOOD",17,17,865681500,51905000
"CENTRAL",2006,"FLOOD",15,5,632811360,65231000
"MID-ATLANTIC",2006,"FLOOD",18,5,612995500,6680000
"NORTHEAST",2006,"FLOOD",7,4,1020110000,1850000
"NORTHWEST",2006,"FLOOD",3,0,149682240,0
"SOUTH",2006,"FLOOD",7,0,662824120,3110000
"SOUTHEAST",2006,"FLOOD",0,1,2432350,0
"SOUTHWEST",2006,"FLOOD",28,8,115567723000,43290000
"CENTRAL",2007,"FLOOD",21,44,955478400,567208000
"MID-ATLANTIC",2007,"FLOOD",4,1,163017000,50000
"NORTHEAST",2007,"FLOOD",7,1,108601500,25000
"NORTHWEST",2007,"FLOOD",3,0,141712000,2000
"SOUTH",2007,"FLOOD",0,5,5971000,150000
"SOUTHEAST",2007,"FLOOD",0,0,395000,0
"SOUTHWEST",2007,"FLOOD",52,8,364202500,810000
"CENTRAL",2008,"FLOOD",45,26,2718375060,1456550000
"MID-ATLANTIC",2008,"FLOOD",0,0,27427750,761000
"NORTHEAST",2008,"FLOOD",2,2,66251700,0
"NORTHWEST",2008,"FLOOD",0,3,9723600,0
"SOUTH",2008,"FLOOD",7,3,60737000,6906000
"SOUTHEAST",2008,"FLOOD",0,0,152648200,2.5e+07
"SOUTHWEST",2008,"FLOOD",18,12,124506000,854000
"CENTRAL",2009,"FLOOD",21,16,231317060,32144000
"MID-ATLANTIC",2009,"FLOOD",2,1,87789000,47000
"NORTHEAST",2009,"FLOOD",1,1,100722500,0
"NORTHWEST",2009,"FLOOD",2,3,100089600,10000
"SOUTH",2009,"FLOOD",10,4,115810500,4822000
"SOUTHEAST",2009,"FLOOD",12,1,358365720,10000
"SOUTHWEST",2009,"FLOOD",7,1,54723250,1695000
"CENTRAL",2010,"FLOOD",37,292,700935240,1075388000
"MID-ATLANTIC",2010,"FLOOD",17,1,130437700,139210000
"NORTHEAST",2010,"FLOOD",1,5,285071100,5000
"NORTHWEST",2010,"FLOOD",0,0,32552900,10000
"SOUTH",2010,"FLOOD",29,5,2382239300,4287000
"SOUTHEAST",2010,"FLOOD",0,0,1301000,0
"SOUTHWEST",2010,"FLOOD",20,12,397632200,38489000
"CENTRAL",2011,"FLOOD",28,15,1142892950,200644000
"MID-ATLANTIC",2011,"FLOOD",50,3,2143047500,1465000
"NORTHEAST",2011,"FLOOD",15,4,2577415000,29450000
"NORTHWEST",2011,"FLOOD",7,2,58570000,1135000
"SOUTH",2011,"FLOOD",13,11,3115677200,4433000
"SOUTHEAST",2011,"FLOOD",0,0,2312000,2000
"SOUTHWEST",2011,"FLOOD",4,5,60267500,6190000
"CENTRAL",1996,"HAIL",0,28,60226070,121030850
"MID-ATLANTIC",1996,"HAIL",0,0,14565000,870000
"NORTHEAST",1996,"HAIL",0,0,128700,195000
"NORTHWEST",1996,"HAIL",0,2,14574400,431000
"SOUTH",1996,"HAIL",0,0,41186520,4125000
"SOUTHEAST",1996,"HAIL",0,1,27083500,18325000
"SOUTHWEST",1996,"HAIL",1,51,455372300,39040000
"CENTRAL",1997,"HAIL",0,1,96341950,151439500
"MID-ATLANTIC",1997,"HAIL",0,2,22870000,15858000
"NORTHEAST",1997,"HAIL",0,0,314000,5e+05
"NORTHWEST",1997,"HAIL",0,0,1241200,2644000
"SOUTH",1997,"HAIL",0,0,3898470,637000
"SOUTHEAST",1997,"HAIL",0,0,252800,0
"SOUTHWEST",1997,"HAIL",0,2,77224400,27856000
"CENTRAL",1998,"HAIL",0,10,680129580,113741400
"MID-ATLANTIC",1998,"HAIL",0,1,16612000,2259000
"NORTHEAST",1998,"HAIL",0,2,1561500,1592000
"NORTHWEST",1998,"HAIL",0,0,16296000,3084700
"SOUTH",1998,"HAIL",0,2,516102670,781000
"SOUTHEAST",1998,"HAIL",0,2,1247000,4000
"SOUTHWEST",1998,"HAIL",1,28,116427300,44573800
"CENTRAL",1999,"HAIL",0,30,156482550,67356000
"MID-ATLANTIC",1999,"HAIL",0,2,53553500,2747000
"NORTHEAST",1999,"HAIL",0,3,82000,20000
"NORTHWEST",1999,"HAIL",0,1,3307000,961000
"SOUTH",1999,"HAIL",0,4,1514090,5000
"SOUTHEAST",1999,"HAIL",0,0,930000,370000
"SOUTHWEST",1999,"HAIL",0,6,227083000,86390000
"CENTRAL",2000,"HAIL",0,45,276700890,86106000
"MID-ATLANTIC",2000,"HAIL",0,2,32119500,2686000
"NORTHEAST",2000,"HAIL",0,1,871000,1500000
"NORTHWEST",2000,"HAIL",0,1,1327000,920000
"SOUTH",2000,"HAIL",0,0,66463070,5000
"SOUTHEAST",2000,"HAIL",0,0,327400,0
"SOUTHWEST",2000,"HAIL",2,8,68173100,33695000
"CENTRAL",2001,"HAIL",0,22,2035663680,55031300
"MID-ATLANTIC",2001,"HAIL",0,0,524000,2005000
"NORTHEAST",2001,"HAIL",0,0,410000,1700000
"NORTHWEST",2001,"HAIL",0,4,499000,74850000
"SOUTH",2001,"HAIL",0,0,1587810,909000
"SOUTHEAST",2001,"HAIL",0,0,2253950,0
"SOUTHWEST",2001,"HAIL",0,6,327403000,135891000
"CENTRAL",2002,"HAIL",0,19,177075130,102908750
"MID-ATLANTIC",2002,"HAIL",0,0,2332500,0
"NORTHEAST",2002,"HAIL",0,75,139000,30000
"NORTHWEST",2002,"HAIL",0,2,32110000,110000
"SOUTH",2002,"HAIL",0,6,41758710,4e+06
"SOUTHEAST",2002,"HAIL",0,0,357500,105000
"SOUTHWEST",2002,"HAIL",0,23,71496000,46691000
"CENTRAL",2003,"HAIL",0,95,342202390,59498550
"MID-ATLANTIC",2003,"HAIL",0,1,9837100,4561500
"NORTHEAST",2003,"HAIL",0,0,63000,0
